['PA335 (09:00)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 716 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3706 mts.', 'Servicio 510', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1250 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 1970 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1101 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 7521 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 470 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 4060 mts.']
['PA335 (09:04)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2216 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 5766 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 610 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4610 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 21 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 5591 mts.', 'Servicio 516', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2310 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 7210 mts.']
['PA335 (09:07)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1476 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 4646 mts.', 'Servicio 510', 'Proximo', 'Entre 09 Y 15 min.  Viene a 3800 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 8460 mts.', 'Servicio 513', 'Proximo', 'Entre 15 Y 23 min.  Viene a 5381 mts.', 'Siguiente', 'Entre 15 Y 23 min.  Viene a 5421 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1670 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 6410 mts.']
['PA335 (09:09)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 716 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4096 mts.', 'Servicio 510', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2950 mts.', 'Siguiente', 'Entre 20 Y 30 min.  Viene a 7850 mts.', 'Servicio 513', 'Proximo', 'Entre 13 Y 21 min.  Viene a 4371 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 4871 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 710 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 5650 mts.']
['PA335 (09:12)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 176 mts.', 'Siguiente', 'Entre 10 Y 16 min.  Viene a 3516 mts.', 'Servicio 510', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1900 mts.', 'Siguiente', 'Entre 18 Y 28 min.  Viene a 7170 mts.', 'Servicio 513', 'Proximo', 'Entre 11 Y 17 min.  Viene a 3621 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 3811 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 190 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4480 mts.']
['PA335 (09:14)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 07 Y 13 min.  Viene a 2856 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2926 mts.', 'Servicio 510', 'Proximo', 'Menos de 5 min. Viene a 1250 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 6390 mts.', 'Servicio 513', 'Proximo', 'Entre 10 Y 16 min.  Viene a 3281 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3431 mts.', 'Servicio 516', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3700 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 6270 mts.']
['PA335 (09:17)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 05 Y 09 min.  Viene a 2016 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2466 mts.', 'Servicio 510', 'Proximo', 'Entre 12 Y 20 min.  Viene a 5020 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9150 mts.', 'Servicio 513', 'Proximo', 'Entre 05 Y 09 min.  Viene a 1581 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 2271 mts.', 'Servicio 516', 'Proximo', 'Entre 04 Y 08 min.  Viene a 2630 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 4480 mts.']
['PA335 (09:19)', 'Inicio', 'Servicio 507', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1646 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1776 mts.', 'Servicio 510', 'Proximo', 'Entre 10 Y 16 min.  Viene a 4150 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 8620 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 1021 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1451 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1920 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3770 mts.']
['PA335 (09:22)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 676 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1036 mts.', 'Servicio 510', 'Proximo', 'Entre 07 Y 11 min.  Viene a 3150 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 7580 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 221 mts.', 'Siguiente', 'Menos de 5 min. Viene a 701 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1050 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 2660 mts.']
['PA335 (09:25)', 'Inicio', 'Servicio 507', 'Proximo', 'Menos de 5 min. Viene a 16 mts.', 'Siguiente', 'Menos de 5 min. Viene a 696 mts.', 'Servicio 510', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1890 mts.', 'Siguiente', 'Entre 16 Y 26 min.  Viene a 6660 mts.', 'Servicio 513', 'Proximo', 'Menos de 5 min. Viene a 531 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4881 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 430 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1700 mts.']
