['PA385 (08:59)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2902 mts.', 'Siguiente', 'Entre 15 Y 25 min.  Viene a 5612 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 322 mts.', 'Siguiente', 'Menos de 5 min. Viene a 342 mts.', 'Servicio 519E', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1855 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 3645 mts.']
['PA385 (09:03)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1292 mts.', 'Siguiente', 'Entre 12 Y 20 min.  Viene a 4702 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 112 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 1812 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 1185 mts.', 'Siguiente', 'Entre 08 Y 14 min.  Viene a 3055 mts.']
['PA385 (09:06)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 392 mts.', 'Siguiente', 'Entre 09 Y 15 min.  Viene a 3942 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 982 mts.', 'Siguiente', 'Entre 07 Y 13 min.  Viene a 3162 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 105 mts.', 'Siguiente', 'Entre 05 Y 09 min.  Viene a 2185 mts.']
['PA385 (09:08)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 08 Y 14 min.  Viene a 3592 mts.', 'Siguiente', 'Entre 14 Y 22 min.  Viene a 5262 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 122 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2532 mts.', 'Servicio 519E', 'Proximo', 'Entre 04 Y 08 min.  Viene a 1865 mts.', 'Siguiente', 'Mas de 25 min. Viene a 10605 mts.']
['PA385 (09:11)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 06 Y 10 min.  Viene a 2912 mts.', 'Siguiente', 'Entre 11 Y 19 min.  Viene a 4482 mts.', 'Servicio 516', 'Proximo', 'Entre 03 Y 07 min.  Viene a 1962 mts.', 'Siguiente', 'Entre 04 Y 08 min.  Viene a 1972 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 1135 mts.', 'Siguiente', 'Entre 24 Y 34 min.  Viene a 9265 mts.']
['PA385 (09:13)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2122 mts.', 'Siguiente', 'Entre 11 Y 17 min.  Viene a 4202 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 1402 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1552 mts.', 'Servicio 519E', 'Proximo', 'Menos de 5 min. Viene a 85 mts.', 'Siguiente', 'Entre 22 Y 32 min.  Viene a 8265 mts.']
['PA385 (09:16)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1132 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3252 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 622 mts.', 'Siguiente', 'Menos de 5 min. Viene a 712 mts.', 'Servicio 519E', 'Proximo', 'Entre 18 Y 28 min.  Viene a 6725 mts.', 'Siguiente', 'Mas de 25 min. Viene a 11185 mts.']
['PA385 (09:18)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 522 mts.', 'Siguiente', 'Entre 06 Y 10 min.  Viene a 2912 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 142 mts.', 'Siguiente', 'Menos de 5 min. Viene a 142 mts.', 'Servicio 519E', 'Proximo', 'Entre 17 Y 27 min.  Viene a 6365 mts.', 'Siguiente', 'Mas de 25 min. Viene a 9625 mts.']
['PA385 (09:21)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Entre 03 Y 07 min.  Viene a 2212 mts.', 'Siguiente', 'Entre 03 Y 07 min.  Viene a 2252 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 2 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1242 mts.', 'Servicio 519E', 'Proximo', 'Entre 15 Y 23 min.  Viene a 5105 mts.', 'Siguiente', 'Entre 23 Y 33 min.  Viene a 8755 mts.']
['PA385 (09:24)', 'Inicio', 'Servicio 412', 'No hay buses que se dirijan al paradero.', 'Servicio 418', 'Proximo', 'Menos de 5 min. Viene a 1042 mts.', 'Siguiente', 'Menos de 5 min. Viene a 1272 mts.', 'Servicio 516', 'Proximo', 'Menos de 5 min. Viene a 692 mts.', 'Siguiente', 'Entre 07 Y 11 min.  Viene a 3232 mts.', 'Servicio 519E', 'Proximo', 'Entre 13 Y 21 min.  Viene a 4465 mts.', 'Siguiente', 'Entre 19 Y 29 min.  Viene a 7075 mts.']
